,NPC,Households,PV output,LLP,Diesel Cost,Renewable invesment cost,Genererator invesment cost,Battery invesment cost,Battery operation cost,PV nominal capacity,Genset nominal capacity,Battery nominal capacity
969,258859.747225298,188,5,0.0401,0.691,1.657,1.35,0.438,2.45454545454545E-05,27890.3479592278,20750.8916825464,0
970,355738.309508871,188,8,0.0281,1.071,1.751,1.564,0.668,5.06818181818182E-05,35142.6686610209,21717.0081958446,0
971,283071.811458877,200,3,0.019,0.785,1.339,1.487,0.637,4.71590909090909E-05,34289.543705203,23648.4677936252,0
972,184597.79692462,188,9,0.0372,0.392,1.634,1.384,0.585,4.125E-05,14669.2568867997,22298.1592367959,0
973,225316.727116303,200,3,0.0098,0.513,1.731,1.3,0.483,2.96590909090909E-05,25123.3129056215,25208.8640348793,0
974,265513.988136588,200,0,0.0401,0.691,1.657,1.35,0.438,2.45454545454545E-05,29035.3312569763,21459.9606208241,0
975,386557.227149845,200,4,0.0228,1.173,1.514,1.521,0.524,3.43181818181818E-05,53538.3866723545,16468.1919333334,54180.1594162621
976,276015.184356763,188,8,0.019,0.785,1.339,1.487,0.637,4.71590909090909E-05,34409.552087684,22688.7212055701,0
977,284125.120696369,200,0,0.019,0.785,1.339,1.487,0.637,4.71590909090909E-05,34635.3833575472,23649.9929963702,0
978,347769.871267145,188,1,0.0228,1.173,1.514,1.521,0.524,3.43181818181818E-05,48491.2499708205,14083.3541396553,72075.4230218166
979,212645.204887553,188,2,0.0098,0.513,1.731,1.3,0.483,2.96590909090909E-05,23354.0743416833,23919.7363778372,0
980,275543.457939901,200,4,0.0401,0.691,1.657,1.35,0.438,2.45454545454545E-05,31082.1363716545,21691.7456137161,0
981,231980.773356441,200,8,0.0098,0.513,1.731,1.3,0.483,2.96590909090909E-05,24977.0210455089,25622.3089565529,0
982,359443.873959026,188,4,0.0281,1.071,1.751,1.564,0.668,5.06818181818182E-05,35528.3105724077,21749.0415615688,0
983,249323.741700834,200,3,0.0035,0.585,1.471,1.621,0.698,5.40909090909091E-05,29867.8864671156,26345.8137236029,0
984,175479.029694519,200,9,0.0463,0.337,1.371,1.451,0.416,2.20454545454545E-05,17954.0919520361,22489.5850943145,0
985,250353.047839604,200,0,0.0035,0.585,1.471,1.621,0.698,5.40909090909091E-05,30557.894679529,26374.227338923,0
986,146520.329105263,188,6,0.0109,0.225,1.413,1.587,0.563,3.875E-05,17678.0724107897,25914.4120366725,0
987,141887.09887596,188,0,0.0109,0.225,1.413,1.587,0.563,3.875E-05,17426.4150591039,25065.3045050207,0
988,276836.448643135,188,5,0.019,0.785,1.339,1.487,0.637,4.71590909090909E-05,34127.7362073486,22710.4666064836,0
989,364510.110748701,200,3,0.0281,1.071,1.751,1.564,0.668,5.06818181818182E-05,35175.1440194002,22367.6755330754,1487.08858181487
990,233747.975458264,200,9,0.0098,0.513,1.731,1.3,0.483,2.96590909090909E-05,25028.4069663633,25783.2998384769,0
991,327735.90560205,188,4,0.0341,0.955,1.567,1.666,0.499,3.14772727272727E-05,38540.3929269825,19351.3967613389,14852.0824500863
992,179208.550804387,188,1,0.0372,0.392,1.634,1.384,0.585,4.125E-05,17684.2438368512,21560.2611028737,0
993,385249.78073291,200,9,0.0228,1.173,1.514,1.521,0.524,3.43181818181818E-05,53958.1144309627,16121.9158102999,55534.6939467858
994,326659.637190343,188,7,0.0341,0.955,1.567,1.666,0.499,3.14772727272727E-05,38411.7157105893,19079.6253709149,16423.4372782151
995,378398.479702301,200,9,0.0281,1.071,1.751,1.564,0.668,5.06818181818182E-05,37811.9124915783,22580.3878916621,0
996,259058.482193136,200,7,0.0035,0.585,1.471,1.621,0.698,5.40909090909091E-05,32756.7230283283,26737.8411273171,0
997,175369.806139242,200,7,0.0463,0.337,1.371,1.451,0.416,2.20454545454545E-05,18100.7021200808,22464.181999281,0
998,363653.576106224,200,2,0.0281,1.071,1.751,1.564,0.668,5.06818181818182E-05,35242.7096212421,22327.6551812785,1717.46723444314
999,326845.142261482,188,9,0.0341,0.955,1.567,1.666,0.499,3.14772727272727E-05,38706.9633282578,19005.4180582231,16975.6158139791
1000,149541.114187437,200,1,0.0109,0.225,1.413,1.587,0.563,3.875E-05,18808.4340896132,26283.5728161335,0
1001,258452.519142118,200,5,0.0035,0.585,1.471,1.621,0.698,5.40909090909091E-05,32713.6285900042,26975.4327161846,0
1002,274856.147040352,200,9,0.0401,0.691,1.657,1.35,0.438,2.45454545454545E-05,31275.5087681946,21527.091037147,0
1003,183870.711480998,188,5,0.0372,0.392,1.634,1.384,0.585,4.125E-05,15931.0227191722,22129.2501906114,0
1004,179853.742053783,188,0,0.0372,0.392,1.634,1.384,0.585,4.125E-05,17491.8842233937,21636.1455836828,0
1005,365179.353345132,188,9,0.0228,1.173,1.514,1.521,0.524,3.43181818181818E-05,50985.2943026095,15562.9449635222,53763.6814256761
1006,189418.11314849,200,1,0.0372,0.392,1.634,1.384,0.585,4.125E-05,18869.0994858206,22727.3900714132,0
1007,166010.954729897,188,9,0.0463,0.337,1.371,1.451,0.416,2.20454545454545E-05,16637.1104525766,21331.9230978708,0
